ACC_X,ACC_Y,ACC_Z,GY_X,GY_Y,GY_Z
510,-419,13822,-941,-361,-317
40,-526,14798,-929,-329,-357
128,-319,14332,-913,26,-323
255,-1044,14567,-1001,-331,-355
255,-722,15340,-917,-287,-347
255,-375,14591,-909,-321,-321
252,-937,14551,-989,-415,-377
228,255,15077,-925,-375,-329
255,-582,15300,-1005,-311,-321
510,-1491,14814,-965,-377,-359
255,-546,14045,-881,-339,-359
255,-801,14830,-941,-319,-353
96,92,14300,-925,255,-363
510,-534,14806,-985,-399,-351
212,-295,14535,-1361,90,-341
255,255,14559,-1451,-357,-299
128,-1076,14296,-1609,-542,510
-1315,72,14790,-1841,-578,1021
-1610,-666,14543,-1865,-705,1785
-1244,-1459,15340,-1753,-537,2813
-1921,-538,15340,-1441,-581,3327
-2216,124,15615,-1154,-457,4091
-2594,24,14543,-753,-429,4591
-2387,244,15085,-777,-365,5102
-2196,765,14567,-845,-339,5359
-1196,140,14543,-921,-345,5611
-347,510,14061,-1146,-263,6138
-813,510,14284,-1315,-385,6391
104,510,15069,-1449,12,6391
255,255,14567,-1371,255,6137
2550,-2084,16328,-1538,-734,6138
3068,-1491,14846,-1513,-630,5871
2303,-2423,14567,-1339,-459,5865
2295,-1483,15069,-1217,-473,5871
510,-1642,15045,-1210,-473,5631
196,-1307,15595,-1113,-473,5627
136,-1180,14806,-1129,-413,5865
-359,-1315,14591,-1147,-307,5865
-307,-622,14077,-1186,-371,6137
-447,-514,14846,-1217,-383,6124
-407,-869,14583,-1145,-391,6399
-889,196,15101,-973,-497,6125
-1690,255,14830,-941,-333,6139
-558,152,14822,-734,47,5610
-614,-447,15316,-586,73,5375
-1009,-769,15324,-534,115,5371
255,-789,14814,-549,227,4845
-279,-1172,14316,-489,73,4861
510,-1084,15348,-582,-317,4591
765,-1236,14798,-533,19,4335
164,-271,14567,-517,200,4091
510,-598,14328,-267,77,3835
72,255,14551,88,139,3571
1020,-307,14806,151,255,3327
1275,-977,14806,255,255,3319
1530,-1172,14806,255,255,3060
1020,255,14300,255,255,3071
2558,510,15069,255,255,2807
2805,-1132,14041,-421,255,2805
3582,244,12750,-1089,255,2815
2558,-546,14300,-1435,-785,2295
2044,-1459,13822,-1714,-517,2047
2558,-1666,15862,-1371,-530,2044
510,-1594,15862,-618,43,2044
255,-606,14806,-455,219,2551
255,-411,14296,-694,255,2813
1020,-1124,15069,-481,255,3833
765,-801,15332,-545,510,3829
765,-801,15332,-545,510,4087
1275,-654,15332,2,255,4087
1275,-1546,15053,113,510,4351
2044,-817,14280,-279,765,4591
1530,-1754,14838,188,511,4590
1275,-1172,14296,10,510,4591
-431,-973,14061,-343,765,5117
765,-1682,14041,-445,511,5102
510,-1172,14806,-499,255,5375
-287,-1196,14846,-609,120,5355
255,1020,14312,-785,510,5359
-283,255,15810,-1122,255,5101
1020,128,15579,-781,-657,5355
1020,-602,14814,-933,765,5359
765,-1419,14790,-669,255,5881
765,-1594,14838,-713,253,6137
1275,-730,15069,-546,255,6383
765,-2407,15077,-425,255,6630
510,-339,15332,-339,255,6638
220,-343,15587,-343,106,6654
-694,255,15356,-395,255,6887
-638,510,14790,-349,255,7165
124,228,15332,255,255,6893
510,-897,14543,255,191,7143
510,-487,14328,255,55,7423
765,-690,14312,255,142,7407
765,-351,14806,167,81,7411
-1005,255,14284,54,-273,7403
-323,220,14025,-283,30,7395
40,252,14025,-313,71,7411
255,255,14591,-483,78,7403
-686,196,14296,-522,91,7423
510,-622,14814,-562,100,7419
